id,genre,genre_vector
369,['romance'],[0 0 0 0 0 0 1 0]
370,['romance'],[0 0 0 0 0 0 1 0]
371,['romance'],[0 0 0 0 0 0 1 0]
372,['romance'],[0 0 0 0 0 0 1 0]
373,['romance'],[0 0 0 0 0 0 1 0]
374,['romance'],[0 0 0 0 0 0 1 0]
375,['romance'],[0 0 0 0 0 0 1 0]
376,['romance'],[0 0 0 0 0 0 1 0]
377,"['romance', 'fantasy']",[0 0 0 1 0 0 1 0]
378,['romance'],[0 0 0 0 0 0 1 0]
379,['romance'],[0 0 0 0 0 0 1 0]
380,['romance'],[0 0 0 0 0 0 1 0]
382,['romance'],[0 0 0 0 0 0 1 0]
383,['romance'],[0 0 0 0 0 0 1 0]
384,['romance'],[0 0 0 0 0 0 1 0]
385,['romance'],[0 0 0 0 0 0 1 0]
386,['romance'],[0 0 0 0 0 0 1 0]
387,['romance'],[0 0 0 0 0 0 1 0]
388,['romance'],[0 0 0 0 0 0 1 0]
389,['romance'],[0 0 0 0 0 0 1 0]
390,['romance'],[0 0 0 0 0 0 1 0]
391,['romance'],[0 0 0 0 0 0 1 0]
392,['romance'],[0 0 0 0 0 0 1 0]
393,['romance'],[0 0 0 0 0 0 1 0]
394,['romance'],[0 0 0 0 0 0 1 0]
395,['romance'],[0 0 0 0 0 0 1 0]
396,['romance'],[0 0 0 0 0 0 1 0]
397,['romance'],[0 0 0 0 0 0 1 0]
398,['romance'],[0 0 0 0 0 0 1 0]
399,['romance'],[0 0 0 0 0 0 1 0]
400,['romance'],[0 0 0 0 0 0 1 0]
401,['romance'],[0 0 0 0 0 0 1 0]
420,['fantasy'],[0 0 0 1 0 0 0 0]
425,['fantasy'],[0 0 0 1 0 0 0 0]
429,['fantasy'],[0 0 0 1 0 0 0 0]
436,['fantasy'],[0 0 0 1 0 0 0 0]
437,['fantasy'],[0 0 0 1 0 0 0 0]
440,['fantasy'],[0 0 0 1 0 0 0 0]
441,['fantasy'],[0 0 0 1 0 0 0 0]
443,['fantasy'],[0 0 0 1 0 0 0 0]
444,['fantasy'],[0 0 0 1 0 0 0 0]
446,['fantasy'],[0 0 0 1 0 0 0 0]
449,['fantasy'],[0 0 0 1 0 0 0 0]
452,"['python', 'python', 'python', 'python', 'python', 'python']",[0 0 0 0 0 1 0 0]
